vehicles,rerouting,average_edge_usage,max_edge_usage,total_travel_cost,average_travel_cost,green_edges,yellow_edges,orange_edges,red_edges,rerouted_vehicles,runtime_seconds
100,True,2.7378142637249874,15,66212.8425165104,662.128425165104,869,332,374,374,87,1.9902169704437256
5,True,1.0141342756183747,2,3280.8044275841157,656.1608855168231,0,279,0,4,4,1.6201081275939941
10,True,1.1555075593952484,4,5470.415962665153,547.0415962665153,0,396,0,67,6,1.5672729015350342
25,True,1.5780141843971631,6,15392.491046965299,615.6996418786119,0,568,128,150,22,1.6365740299224854
75,True,2.4959851760345892,12,44027.611415857245,587.0348188780966,759,342,177,341,57,1.8276340961456299
100,True,2.912817851582771,15,69930.77621083772,699.3077621083772,839,350,331,407,90,1.989189863204956
250,True,4.358497316636852,33,160655.65627183608,642.6226250873443,1544,387,245,619,206,2.5807230472564697
500,True,7.524774774774775,66,398700.21691295755,797.4004338259151,1956,501,331,764,448,3.930001974105835
750,True,9.616704516780217,80,619570.4616236315,826.0939488315087,2269,494,301,899,661,4.9388427734375
1000,True,11.225,118,833429.035987015,833.429035987015,2643,488,297,972,884,6.115550994873047
5000,True,38.39409479409479,589,4430571.024383703,886.1142048767407,4338,538,230,1329,4537,24.560669898986816
50,True,2.1435011269722013,12,31178.59714918017,623.5719429836033,657,325,140,209,38,1.6733088493347168
10,True,1.2228915662650603,4,5915.78804070496,591.578804070496,0,430,0,68,9,1.4803311824798584
10,True,1.347457627118644,5,4983.834724122924,498.3834724122924,0,267,64,23,7,1.5103299617767334
5,True,1.132716049382716,3,3243.373860201919,648.6747720403838,0,291,0,33,5,1.4746339321136475
5,True,1.0365296803652968,2,2148.767926112366,429.75358522247313,0,211,0,8,4,1.4839532375335693
